@RELATION hs

@ATTRIBUTE sequence     string
@ATTRIBUTE incoming     NUMERIC
@ATTRIBUTE outgoing     NUMERIC
@ATTRIBUTE lifetime     NUMERIC
@ATTRIBUTE class        {HS-RP,Client-RP,noise}
@ATTRIBUTE inc_50     NUMERIC
@ATTRIBUTE out_50     NUMERIC
@DATA


-1+1+1-1+1-1-1+1-1+1+1-1+1+1+1,3289,260,4210.17699599,noise,33,17
-1+1-1-1+1-1+1+1,3,3,0.915303945541,noise,3,3
-1+1-1-1+1-1-1+1+1-1+1-1+1,4844,887,1019.85166502,noise,32,18
-1+1-1+1+1-1+1+1-1+1+1-1+1+1,187,61,132.611838818,noise,40,10
-1+1-1+1-1-1-1+1-1+1-1+1,29716,3248,3250.07165098,noise,23,27
-1+1-1+1-1-1+1-1-1+1-1-1+1-1,1220,80,121.589514971,noise,33,17
-1+1-1+1+1-1-1+1-1+1-1-1+1+1,24420,3158,922.185801983,noise,40,10
-1+1-1+1+1-1+1-1+1+1-1-1+1,21828,3183,866.187388182,noise,39,11
-1+1-1+1+1+1-1+1-1+1-1+1,532,202,295.302100182,noise,40,10
-1+1-1+1+1+1-1+1-1+1-1+1+1,2382,540,1002.67306495,noise,38,12
-1+1-1+1-1+1-1-1+1-1-1+1,23954,2265,763.116881847,noise,28,22
-1+1-1+1-1+1+1-1-1+1-1-1+1,1605,506,1064.31212616,noise,37,13
-1+1-1+1-1-1+1-1+1+1-1+1,41,13,207.35410285,noise,37,13
-1+1-1+1+1-1+1-1+1+1-1+1+1,9,10,22.3352870941,noise,9,10
-1+1-1+1-1-1+1+1-1+1-1+1,4240,513,611.264665127,noise,44,6
-1+1+1-1+1-1-1+1+1-1-1+1-1+1,21159,2119,966.32617116,noise,23,27
-1+1-1+1-1+1-1+1+1-1+1,8916,1129,1713.54934311,noise,38,12
-1+1-1+1+1-1+1-1+1-1+1,34,37,115.359013081,noise,23,27
-1+1-1-1+1-1+1+1-1+1+1+1-1-1+1-1,24724,2150,529.613101006,noise,27,23
-1+1-1+1-1-1-1+1-1-1+1-1-1+1,2753,412,236.293462992,noise,26,24
-1+1-1+1-1-1+1-1+1-1-1+1,23942,4436,856.667711973,noise,25,25
-1+1-1+1-1+1+1+1-1-1+1-1-1-1+1+1,13915,3239,821.523087978,noise,44,6
-1+1-1+1-1+1+1-1-1+1-1-1-1+1,11345,892,847.400924921,noise,35,15
-1+1+1-1-1+1+1-1+1-1-1+1-1+1,30,38,1324.43952608,noise,19,31
-1+1-1+1+1-1+1-1+1-1+1,10508,1698,563.531810999,noise,32,18
-1+1+1-1+1+1-1+1-1-1+1+1,5,5,559.740242004,noise,5,5
-1+1+1-1+1-1+1+1-1-1+1-1+1,3031,575,1847.43589592,noise,30,20
-1+1-1-1+1+1-1+1+1-1+1-1-1+1,2234,618,720.694733143,noise,26,24
-1+1-1-1+1-1+1,3,3,28.0293500423,noise,3,3
-1+1-1-1+1+1-1+1-1,3,3,203.729187012,noise,3,3
-1+1-1-1+1-1+1-1+1+1,4,4,11.492166996,noise,4,4
-1+1-1+1+1-1-1+1+1-1-1+1,5,5,24.0347120762,noise,5,5
