@RELATION hs

@ATTRIBUTE sequence     string
@ATTRIBUTE incoming     NUMERIC
@ATTRIBUTE outgoing     NUMERIC
@ATTRIBUTE lifetime     NUMERIC
@ATTRIBUTE class        {HS-RP,Client-RP,noise}
@ATTRIBUTE inc_50     NUMERIC
@ATTRIBUTE out_50     NUMERIC
@DATA

 
 -1+1-1+1-1-1+1-1-1+1,3287,259,4210.17699599,noise,34,16
 -1+1-1+1-1+1,3,3,0.915303945541,noise,3,3
 -1+1-1+1-1+1-1-1+1-1,4842,886,1019.85166502,noise,32,18
 -1+1-1+1-1-1+1-1+1-1,184,59,132.611838818,noise,41,9
 -1+1-1+1-1-1-1-1+1-1,29713,3247,3250.07165098,noise,22,28
 -1+1-1+1-1-1+1-1+1+1,1218,78,121.589514971,noise,34,16
 -1+1-1+1-1-1+1-1-1+1,24418,3157,922.185801983,noise,41,9
 -1+1-1+1-1-1-1-1-1-1,21825,3183,866.187388182,noise,39,11
 -1+1-1+1-1+1-1+1+1+1,532,201,295.302100182,noise,41,9
 -1+1-1+1-1+1-1+1-1+1,2382,540,1002.67306495,noise,38,12
 -1+1-1+1-1-1-1-1-1-1,23951,2265,763.116881847,noise,27,23
 -1+1-1+1-1+1-1+1+1+1,1605,505,1064.31212616,noise,38,12
 -1+1-1+1-1-1+1-1+1+1,39,11,207.35410285,noise,39,11
 -1+1-1+1-1-1+1+1-1-1,7,9,22.3352870941,noise,7,9
 -1+1-1+1-1+1-1+1-1+1,4240,513,611.264665127,noise,44,6
 -1+1-1+1-1-1-1-1-1-1,21156,2119,966.32617116,noise,22,28
 -1+1-1+1-1-1-1+1-1-1,8914,1129,1713.54934311,noise,38,12
 -1+1-1+1-1+1-1-1+1-1,32,36,115.359013081,noise,23,27
 -1+1-1+1-1-1+1-1+1+1,24722,2148,529.613101006,noise,28,22
 -1+1-1+1-1+1-1+1+1+1,2753,411,236.293462992,noise,27,23
 -1+1-1+1-1-1-1-1-1+1,23940,4436,856.667711973,noise,25,25
 -1+1-1+1-1+1-1+1+1+1,13915,3238,821.523087978,noise,45,5
 -1+1-1+1-1-1+1-1-1+1,11343,891,847.400924921,noise,36,14
 -1+1-1+1-1+1-1-1+1-1,28,37,1324.43952608,noise,19,31
 -1+1-1+1-1-1-1-1-1+1,10506,1698,563.531810999,noise,32,18
 -1+1-1+1-1-1+1+1,4,4,559.740242004,noise,4,4
 -1+1-1+1-1-1-1-1-1-1,3028,575,1847.43589592,noise,29,21
 -1+1-1+1-1+1-1+1+1+1,2234,617,720.694733143,noise,27,23
 -1+1-1+1-1+1,3,3,28.0293500423,noise,3,3
 -1+1-1+1-1+1,3,3,203.729187012,noise,3,3
 -1+1-1+1-1+1-1+1,4,4,11.492166996,noise,4,4
 -1+1-1+1-1-1+1+1,4,4,24.0347120762,noise,4,4
 -1+1-1+1-1+1-1-1+1-1,14947,2128,1306.54375792,noise,34,16
 -1+1-1+1-1+1-1-1-1-1,11346,1006,976.430457115,noise,12,38
 -1+1-1+1-1-1+1-1-1+1,15675,2074,477.194128036,noise,15,35
 -1+1-1+1-1+1,3,3,0.731575965881,noise,3,3
 -1+1-1+1-1+1,3,3,204.094468117,noise,3,3
